1,The Secret and Seven Habits of Highly Successful People,STILL HAVE NOT RECEIVED THIS PART OF My ORDER!!!!!!!!!!!!!!!!!!!!! WOULD LOVE TO RECEIVE IT.
5,Phenomenal. A true gem and a life changer.,"At first glance the seemingly over the top reviews convinced me to purchase this book. After just finishing it a few moments ago, I must say that the reviews haven't given it justice. This is truly a life-changing experience, which allowed me to get back on track. Starting from an almost, if not entirely, narcissistic standpoint I am now humbled. A must read and a true hand book for living."
4,Unique among motivational books,"This book is unique among most of the self-improvement books published in the last century because ""7 habits"" focuses on what Covey calls ""The Character Ethic"" instead of what he calls ""The Personality Ethic"". The Personality Ethic states that success is a function of public image, attitude, and the process of human interaction. Covey believes that The Personality Ethic focuses on the superficial, rather than the underlying problem of character. The Character Ethic states that the foundation of success is made up of attributes like fairness, integrity, honesty, and patience. Components of The Personality Ethic naturally flow out of a person who is rooted in the principles of The Character Ethic.Instead of focusing on specific motivation strategies, Covey focuses on creating the mindset a person needs before they can be motivated. I can't reccommend this book enough."
1,Ugh,I did not enjoy this book at all. Your time would be better spent sharpening a saw...literally. Go buy a saw and learn how to sharpen it.
1,7 Habits of Highly Effective People,"I freely give glowing positive reviews when they are deserved, and you can find plenty of my positive reviews elsewhere, -but you won't find one here! I spend a lot of time traveling in my car and I remember this as a very long and boring day that I gave to listening to all these twisted-around, rehashed, ""original"" ideas. Come on! Get serious! Anyone who is capable of thinking can have results equal to, or greater than those discussed here. This CD was not expensive, but I feel this was a complete waste of my time, and will be of your too if you go ahead and buy it. You don't need this CD. -Try honestly thinking for yourself."
4,Begin with the end in mind.,I am half way reading this book now or must I say experiencing it. I can recommend it already to everbody.
2,Stupid Book!,Did not like this book. I feel it is poorly written and very hard to understand. It was required reading for a course I was taking in culinary school. Don't buy it if you don't have to.
1,An invaluable book,"My life was changed by this book. I find Covey succesfully integrates a bleeding obvious paradigm into a work orientated lifestyle scenario schedule overview bla bla bla. Amusing diagrams of circles around other circles with arrows pointing in. Then the same ones with different colours or the arrow reversed just in case you didnt understand the obvious points. If you like this book buy ""Should I drink poison or not"", ""Is Godzilla real"", ""How to make commone sense sound like a deep philosophy by using the word paradigm"" etc."
5,The Best Self-Educating Book,This Book Uncovers and Defines all the peculiarities of internal and external behavior. if you focus and take notes of the ideas mentioned you can make big changes in your life. I Highly Recommend this Book for anyone willing to enhance the quality of his life and has the courage to identify his weaknesses. Especially Useful to Middle East and 3rd world People.
1,please do not buy this book,"I am a positive person and have never once written a bad review. The ""author"" takes such basic subects and tries to build a paragraph with them. Stretching it out with repetiveness and a million and one unnecessary words. I tried so hard to read this book but simply could not. I became bored very quickly and almost felt anger that this man had taken MY hard earned money!!! 40 pages would have been ample to cover what this person has blown out over 300 plus pages. It is NOT a book....simply a pile of paper with a cover......sorry to be so negative."
